,FileName,Label,ClassName
0,activity_data\test\Basketball\v_Basketball_g24_c04\img_000000.png,1,Basketball
1,activity_data\test\Basketball\v_Basketball_g24_c04\img_000001.png,1,Basketball
2,activity_data\test\Basketball\v_Basketball_g24_c04\img_000002.png,1,Basketball
3,activity_data\test\Basketball\v_Basketball_g24_c04\img_000003.png,1,Basketball
4,activity_data\test\Basketball\v_Basketball_g24_c04\img_000004.png,1,Basketball
5,activity_data\test\Basketball\v_Basketball_g24_c04\img_000005.png,1,Basketball
6,activity_data\test\Basketball\v_Basketball_g24_c04\img_000006.png,1,Basketball
7,activity_data\test\Basketball\v_Basketball_g24_c04\img_000007.png,1,Basketball
8,activity_data\test\Basketball\v_Basketball_g24_c04\img_000008.png,1,Basketball
9,activity_data\test\Basketball\v_Basketball_g24_c04\img_000009.png,1,Basketball
10,activity_data\test\Basketball\v_Basketball_g24_c04\img_000010.png,1,Basketball
11,activity_data\test\Basketball\v_Basketball_g24_c04\img_000011.png,1,Basketball
12,activity_data\test\Basketball\v_Basketball_g24_c04\img_000012.png,1,Basketball
13,activity_data\test\Basketball\v_Basketball_g24_c04\img_000013.png,1,Basketball
14,activity_data\test\Basketball\v_Basketball_g24_c04\img_000014.png,1,Basketball
15,activity_data\test\Basketball\v_Basketball_g24_c04\img_000015.png,1,Basketball
16,activity_data\test\Basketball\v_Basketball_g24_c04\img_000016.png,1,Basketball
17,activity_data\test\Basketball\v_Basketball_g24_c04\img_000017.png,1,Basketball
18,activity_data\test\Basketball\v_Basketball_g24_c04\img_000018.png,1,Basketball
19,activity_data\test\Basketball\v_Basketball_g24_c04\img_000019.png,1,Basketball
20,activity_data\test\Basketball\v_Basketball_g24_c04\img_000020.png,1,Basketball
21,activity_data\test\Basketball\v_Basketball_g24_c04\img_000021.png,1,Basketball
22,activity_data\test\Basketball\v_Basketball_g24_c04\img_000022.png,1,Basketball
23,activity_data\test\Basketball\v_Basketball_g24_c04\img_000023.png,1,Basketball
24,activity_data\test\Basketball\v_Basketball_g24_c04\img_000024.png,1,Basketball
25,activity_data\test\Basketball\v_Basketball_g24_c04\img_000025.png,1,Basketball
26,activity_data\test\Basketball\v_Basketball_g24_c04\img_000026.png,1,Basketball
27,activity_data\test\Basketball\v_Basketball_g24_c04\img_000027.png,1,Basketball
28,activity_data\test\Basketball\v_Basketball_g24_c04\img_000028.png,1,Basketball
29,activity_data\test\Basketball\v_Basketball_g24_c04\img_000029.png,1,Basketball
30,activity_data\test\Basketball\v_Basketball_g24_c04\img_000030.png,1,Basketball
31,activity_data\test\Basketball\v_Basketball_g24_c04\img_000031.png,1,Basketball
32,activity_data\test\Basketball\v_Basketball_g24_c04\img_000032.png,1,Basketball
33,activity_data\test\Basketball\v_Basketball_g24_c04\img_000033.png,1,Basketball
34,activity_data\test\Basketball\v_Basketball_g24_c04\img_000034.png,1,Basketball
35,activity_data\test\Basketball\v_Basketball_g24_c04\img_000035.png,1,Basketball
36,activity_data\test\Basketball\v_Basketball_g24_c04\img_000036.png,1,Basketball
37,activity_data\test\Basketball\v_Basketball_g24_c04\img_000037.png,1,Basketball
38,activity_data\test\Basketball\v_Basketball_g24_c04\img_000038.png,1,Basketball
39,activity_data\test\Basketball\v_Basketball_g24_c04\img_000039.png,1,Basketball
40,activity_data\test\Basketball\v_Basketball_g24_c04\img_000040.png,1,Basketball
41,activity_data\test\Basketball\v_Basketball_g24_c04\img_000041.png,1,Basketball
42,activity_data\test\Basketball\v_Basketball_g24_c04\img_000042.png,1,Basketball
43,activity_data\test\Basketball\v_Basketball_g24_c04\img_000043.png,1,Basketball
44,activity_data\test\Basketball\v_Basketball_g24_c04\img_000044.png,1,Basketball
45,activity_data\test\Basketball\v_Basketball_g24_c04\img_000045.png,1,Basketball
46,activity_data\test\Basketball\v_Basketball_g24_c04\img_000046.png,1,Basketball
47,activity_data\test\Basketball\v_Basketball_g24_c04\img_000047.png,1,Basketball
48,activity_data\test\Basketball\v_Basketball_g24_c04\img_000048.png,1,Basketball
49,activity_data\test\Basketball\v_Basketball_g24_c04\img_000049.png,1,Basketball
50,activity_data\test\Basketball\v_Basketball_g24_c04\img_000050.png,1,Basketball
51,activity_data\test\Basketball\v_Basketball_g24_c04\img_000051.png,1,Basketball
52,activity_data\test\Basketball\v_Basketball_g24_c04\img_000052.png,1,Basketball
53,activity_data\test\Basketball\v_Basketball_g24_c04\img_000053.png,1,Basketball
54,activity_data\test\Basketball\v_Basketball_g24_c04\img_000054.png,1,Basketball
55,activity_data\test\Basketball\v_Basketball_g24_c04\img_000055.png,1,Basketball
56,activity_data\test\Basketball\v_Basketball_g24_c04\img_000056.png,1,Basketball
57,activity_data\test\Basketball\v_Basketball_g24_c04\img_000057.png,1,Basketball
58,activity_data\test\Basketball\v_Basketball_g24_c04\img_000058.png,1,Basketball
59,activity_data\test\Basketball\v_Basketball_g24_c04\img_000059.png,1,Basketball
60,activity_data\test\Basketball\v_Basketball_g24_c04\img_000060.png,1,Basketball
61,activity_data\test\Basketball\v_Basketball_g24_c04\img_000061.png,1,Basketball
62,activity_data\test\Basketball\v_Basketball_g24_c04\img_000062.png,1,Basketball
63,activity_data\test\Basketball\v_Basketball_g24_c04\img_000063.png,1,Basketball
64,activity_data\test\Basketball\v_Basketball_g24_c04\img_000064.png,1,Basketball
65,activity_data\test\Basketball\v_Basketball_g24_c04\img_000065.png,1,Basketball
66,activity_data\test\Basketball\v_Basketball_g24_c04\img_000066.png,1,Basketball
67,activity_data\test\Basketball\v_Basketball_g24_c04\img_000067.png,1,Basketball
68,activity_data\test\Basketball\v_Basketball_g24_c04\img_000068.png,1,Basketball
69,activity_data\test\Basketball\v_Basketball_g24_c04\img_000069.png,1,Basketball
70,activity_data\test\Basketball\v_Basketball_g24_c04\img_000070.png,1,Basketball
71,activity_data\test\Basketball\v_Basketball_g24_c04\img_000071.png,1,Basketball
72,activity_data\test\Basketball\v_Basketball_g24_c04\img_000072.png,1,Basketball
